player,season,team_ko,franchise,salary_manwon,salary_won,salary_ok,war,position_ko,source,is_disclosed,war_realized
김광현,2022,SSG,SK,810000,8100000000,81.0,6.41,,statiz,True,True
양의지,2026,두산,OB,420000,4200000000,42.0,1.55,,statiz,True,False
김광현,2025,SSG,SK,300000,3000000000,30.0,1.86,,statiz,True,True
추신수,2022,SSG,SK,270000,2700000000,27.0,3.13,,statiz,True,True
추신수,2021,SSG,SK,270000,2700000000,27.0,3.99,,statiz,True,True
고영표,2026,KT,KT,260000,2600000000,26.0,2.27,,statiz,True,False
박동원,2024,LG,LG,250000,2500000000,25.0,4.75,,statiz,True,True
류현진,2024,한화,HH,250000,2500000000,25.0,4.56,,statiz,True,True
구자욱,2022,삼성,SS,250000,2500000000,25.0,0.91,,statiz,True,True
이대호,2020,롯데,LT,250000,2500000000,25.0,1.89,,statiz,True,True
이대호,2019,롯데,LT,250000,2500000000,25.0,1.57,,statiz,True,True
이대호,2018,롯데,LT,250000,2500000000,25.0,4.27,,statiz,True,True
이대호,2017,롯데,LT,250000,2500000000,25.0,2.96,,statiz,True,True
한유섬,2022,SSG,SK,240000,2400000000,24.0,4.46,,statiz,True,True
양현종,2020,KIA,HT,230000,2300000000,23.0,4.87,,statiz,True,True
양현종,2019,KIA,HT,230000,2300000000,23.0,8.18,,statiz,True,True
양현종,2018,KIA,HT,230000,2300000000,23.0,5.84,,statiz,True,True
네일,2026,KIA,HT,224000,2240000000,22.4,2.54,,statiz,True,False
에레디아,2025,SSG,SK,224000,2240000000,22.4,4.38,,statiz,True,True
최정,2026,SSG,SK,220000,2200000000,22.0,3.17,,statiz,True,False
박세웅,2026,롯데,LT,210000,2100000000,21.0,1.87,,statiz,True,False
류현진,2026,한화,HH,210000,2100000000,21.0,3.14,,statiz,True,False
로하스,2025,KT,KT,210000,2100000000,21.0,1.18,,statiz,True,True
니퍼트,2017,두산,OB,210000,2100000000,21.0,4.15,,statiz,True,True
류현진,2025,한화,HH,200000,2000000000,20.0,4.48,,statiz,True,True
구자욱,2025,삼성,SS,200000,2000000000,20.0,4.64,,statiz,True,True
고영표,2025,KT,KT,200000,2000000000,20.0,4.83,,statiz,True,True
구자욱,2024,삼성,SS,200000,2000000000,20.0,6.19,,statiz,True,True
고영표,2024,KT,KT,200000,2000000000,20.0,1.89,,statiz,True,True
구자욱,2023,삼성,SS,200000,2000000000,20.0,5.44,,statiz,True,True
나성범,2022,KIA,HT,200000,2000000000,20.0,7.8,,statiz,True,True
박병호,2020,키움,WO,200000,2000000000,20.0,2.42,,statiz,True,True
양의지,2020,NC,NC,200000,2000000000,20.0,6.63,,statiz,True,True
손아섭,2020,롯데,LT,200000,2000000000,20.0,5.49,,statiz,True,True
양의지,2019,NC,NC,200000,2000000000,20.0,6.21,,statiz,True,True
박건우,2022,NC,NC,190000,1900000000,19.0,3.95,,statiz,True,True
디아즈,2026,삼성,SS,182000,1820000000,18.2,3.72,,statiz,True,False
후라도,2026,삼성,SS,182000,1820000000,18.2,3.42,,statiz,True,False
채은성,2023,한화,HH,180000,1800000000,18.0,2.36,,statiz,True,True
박종훈,2022,SSG,SK,180000,1800000000,18.0,-0.01,,statiz,True,True
최정,2025,SSG,SK,170000,1700000000,17.0,1.07,,statiz,True,True
추신수,2023,SSG,SK,170000,1700000000,17.0,1.46,,statiz,True,True
러프,2019,삼성,SS,170000,1700000000,17.0,4.13,,statiz,True,True
린드블럼,2019,두산,OB,170000,1700000000,17.0,6.32,,statiz,True,True
헥터,2018,KIA,HT,170000,1700000000,17.0,3.58,,statiz,True,True
헥터,2017,KIA,HT,170000,1700000000,17.0,7.32,,statiz,True,True
헥터,2016,KIA,HT,170000,1700000000,17.0,8.23,,statiz,True,True
로저스,2016,한화,HH,170000,1700000000,17.0,0.8,,statiz,True,True
오스틴,2025,LG,LG,168000,1680000000,16.8,4.98,,statiz,True,True
데이비슨,2025,NC,NC,168000,1680000000,16.8,2.43,,statiz,True,True
네일,2025,KIA,HT,168000,1680000000,16.8,7.63,,statiz,True,True
앤더슨,2025,SSG,SK,161000,1610000000,16.1,6.96,,statiz,True,True
최원태,2026,삼성,SS,160000,1600000000,16.0,1.21,,statiz,True,False
양의지,2025,두산,OB,160000,1600000000,16.0,6.87,,statiz,True,True
루친스키,2022,NC,NC,160000,1600000000,16.0,5.58,,statiz,True,True
문승원,2022,SSG,SK,160000,1600000000,16.0,-0.17,,statiz,True,True
미란다,2022,두산,OB,160000,1600000000,16.0,-0.11,,statiz,True,True
오승환,2022,삼성,SS,160000,1600000000,16.0,1.32,,statiz,True,True
맨쉽,2017,NC,NC,160000,1600000000,16.0,3.08,,statiz,True,True
김태균,2017,한화,HH,160000,1600000000,16.0,2.55,,statiz,True,True
김태균,2016,한화,HH,160000,1600000000,16.0,6.97,,statiz,True,True
오스틴,2026,LG,LG,154000,1540000000,15.4,5.63,,statiz,True,False
김광현,2026,SSG,SK,150000,1500000000,15.0,0.0,,statiz,True,False
김재환,2024,두산,OB,150000,1500000000,15.0,3.07,,statiz,True,True
김재환,2023,두산,OB,150000,1500000000,15.0,0.48,,statiz,True,True
박세웅,2023,롯데,LT,150000,1500000000,15.0,4.63,,statiz,True,True
김현수,2022,LG,LG,150000,1500000000,15.0,4.81,,statiz,True,True
손아섭,2022,NC,NC,150000,1500000000,15.0,3.08,,statiz,True,True
