,model_strength,tm_value_m,model_strength_eff,z_model,z_tm,rating,synergy_mult,spine,chemistry,n_core_euro
England,681168559.415633,1333.0,681168559.415633,1.498906879741207,1.5342913524275534,122.77552509578047,1.0689,1.018,1.05,15
France,498133515.19292253,1558.0,498133515.19292253,1.288092667915397,1.6612472399235212,122.39991523779798,1.0188,0.9703,1.05,15
Spain,469808327.04980445,1286.0,469808327.04980445,1.2486547419582852,1.5050735038796508,120.84527591522554,1.029,0.98,1.05,15
Portugal,515154774.0645862,1038.0,515154774.0645862,1.310726913363159,1.330687544537967,119.82557890763955,1.0531,1.0029,1.05,15
Brazil,491435187.0976188,931.0,491435187.0976188,1.2789726936688717,1.2421341204874528,118.88067217628637,1.0721,1.0211,1.05,15
Germany,427058625.97701675,1018.0,427058625.97701675,1.1843858510055207,1.3148510217369365,118.84212542361699,1.0281,0.9791,1.05,15
Argentina,342850543.63598573,835.0,342850543.63598573,1.0364335859436753,1.153551583947194,116.51272727268416,1.0488,0.9988,1.05,15
Netherlands,318568601.9840818,854.0,318568601.9840818,0.9869491771825292,1.1718655125882236,116.32979742483492,1.0444,0.9947,1.05,15
Belgium,310627948.950618,554.0,310627948.950618,0.9699448497488802,0.8196058681440701,113.30887614799352,1.1169,1.0637,1.05,15
Norway,211718405.91472483,613.0,211718405.91472483,0.7117073749814515,0.9019799964948818,112.24535975220758,0.9979,0.9503,1.05,15
Ivory Coast,200381601.470543,542.0,200381601.470543,0.6746338279387533,0.8017809603132826,111.16847126117116,1.0443,0.9945,1.05,15
Turkiye,191451911.37613496,482.0,191451911.37613496,0.643924060666288,0.7062842763861233,110.17333268968297,1.0687,1.0178,1.05,15
Uruguay,239230890.74797964,414.0,239230890.74797964,0.7940089860057417,0.5824969898658736,110.16516082193222,1.0509,1.0009,1.05,15
Morocco,169405384.0195472,498.0,169405384.0195472,0.5615078887806993,0.7328653026879665,109.83631699644545,1.0431,0.9934,1.05,15
Senegal,169888657.72437003,483.0,169888657.72437003,0.5634269275116188,0.7079712647537731,109.64389469492205,1.0737,1.0225,1.05,15
Croatia,187099456.44274694,394.0,187099456.44274694,0.6284325020172173,0.5421931337650587,108.71501274217795,1.0375,0.9881,1.05,15
United States,190237619.63438362,386.0,190237619.63438362,0.6396377783528553,0.52549569500691,108.65289448768878,1.0449,0.9952,1.05,15
Sweden,133295031.83950236,437.0,133295031.83950236,0.40001321834173864,0.6265061722560759,107.86876514491937,1.0145,0.9662,1.05,15
Switzerland,166854031.0128882,340.0,166854031.0128882,0.5512850632958893,0.4222094132269266,107.2044018363694,1.1233,1.0698,1.05,15
Colombia,161142078.35669515,311.0,161142078.35669515,0.5278197514842501,0.34964164329700215,106.44732687971896,1.0121,0.9639,1.05,15
Austria,162933853.77947947,277.0,162933853.77947947,0.5352689189102086,0.2554037513009105,105.72014615087642,1.0664,1.0156,1.05,15
Algeria,126386244.94143406,263.0,126386244.94143406,0.36415983274788916,0.21318835658574561,104.21688281288066,1.0411,0.9915,1.05,15
Ghana,129579120.38224493,236.0,129579120.38224493,0.38096681772214985,0.12501714046532522,103.60291742846344,1.0514,1.0013,1.05,15
Ecuador,61255508.940235496,384.0,61255508.940235496,-0.12375983862268958,0.5212672616223768,103.46507599768145,1.0095,0.9614,1.05,11
Scotland,179880541.170697,180.0,179880541.170697,0.6019260199823233,-0.09546737827646234,103.27539476409987,1.0265,0.9777,1.05,15
Japan,89428378.65501286,285.0,89428378.65501286,0.13114002466232877,0.27857888529448466,103.18347097015021,1.0334,0.9842,1.05,15
Czechia,132171630.47376278,194.0,132171630.47376278,0.3943116535448371,-0.03449984091815351,102.37697997385288,1.0309,0.9818,1.05,12
Canada,103194998.38796394,207.0,103194998.38796394,0.2275952841869841,0.018294873022713966,101.68720087069953,0.9926,0.9453,1.05,3
South Korea,95712992.53295231,145.0,95712992.53295231,0.17689186079703917,-0.27146684697577494,98.95441857282987,0.9896,0.9425,1.05,8
Mexico,47957116.84890713,199.0,47957116.84890713,-0.2886342053807706,-0.013786977856327558,97.93797654636509,0.9851,0.9382,1.05,5
Congo DR,62280209.080671124,152.0,62280209.080671124,-0.1125839844483674,-0.23309070849299543,97.31705975990631,1.0917,1.0397,1.05,13
Egypt,69609606.35207768,137.0,69609606.35207768,-0.03763406222524186,-0.3176620276766538,97.12525835164722,0.9701,0.9239,1.05,4
Paraguay,45655315.24208694,160.0,45655315.24208694,-0.3217693157921594,-0.1913394237947922,96.24950687209589,1.0502,1.0002,1.05,5
Bosnia-Herzegovina,33338069.49553862,152.0,33338069.49553862,-0.5335794660587126,-0.23309070849299543,94.47534025903647,1.0933,1.0412,1.05,13
Tunisia,30539129.162357505,71.0,30539129.162357505,-0.5926529342280127,-0.8526864114289796,88.96492979967184,1.0281,0.9792,1.05,8
Australia,11154972.990960782,75.0,11154972.990960782,-1.2711050410473315,-0.8080740636936314,84.75342994745806,0.9996,0.952,1.05,5
Saudi Arabia,0.0,38.0,19000000.0,-0.9123485062086515,-1.3614949421793148,82.60931431011225,1.0,1.0,1.0,0
Uzbekistan,7069772.371879218,72.0,7069772.371879218,-1.5783294815217395,-0.8413020077263573,82.40553443598581,0.9608,0.9151,1.05,1
Panama,0.0,36.0,18000000.0,-0.9487710746630675,-1.405504124569517,82.00038621832579,1.0,1.0,1.0,0
